ID,Description,Imperial_Units,Imperial_Default,Metric_Units,Metric_Default
Tair,Dry air temperature,Farheneit,62.6,Celcius,17
Patm,Barometric pressure,mmHg abs,760,mmHg abs,760
RH,Relative humidity,%,36,%,36
measurements,Number of wind measurements,NA,1,NA,1
ch,Crop Heigh,in,4,cm,10
z1,Elevation of wind speed (1),ft,10,m,0.3
ux1,MPH wind speed (1),mph,13,m/s,6
z2,Elevation of wind speed (2),ft,,m,
ux2,MPH wind speed (2),mph,,m/s,
rhow,Density of pure water in droplet,lbs/ft3,62,g/cm3,1
rhos,Density of dissolved solids in droplet,lbs/ft3,125,g/cm3,2
xs0,Mass fraction total dissolved solids in solution,NA,0.01,NA,0.01
rhosoln,Mix density,lbs/ft3,62428,kg/m3,1000
H0,Height of nozzle above ground,in,24,cm,61
hcm,Canopy height (Droplet Transport Calculation),in,0,cm,0
app_p,Nozzle pressure,psi,63,kPa,63
angle,Nozzle angle,degrees,110,degrees,110
IAR,Intended Application Rate,lb/acre,0.5,kg/ha,0.56
xactive,Conc in tank solution,wtfraction,0.004,wtfraction,0.004
FD,Downwind field depth,ft,240,m,73
PL,Crosswind field width,ft,787,m,240
NozzleSpacing,Space between nozzles on Boom,in,20,cm,51
psipsipsi,"Horizontal variation in wind direction around mean direction, 1 stdev",degrees,11,degrees,11
Dpmax,Dpmax,µm,1350,µm,1350
Ddpmin,Dpmin,µm,18,µm,18
MMM,Number of droplet size bins,#,500,#,500
lambda,Resolution of deposition calculations,NA,3,NA,3
