Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0.06,0.06,0.05
120,0.22,0.22,0.21
150,0.58,0.6,0.56
180,1.12,1.16,1.1
210,1.85,1.91,1.84
250,3.14,3.24,3.14
300,5.26,5.43,5.3
360,8.57,8.84,8.65
410,12.68,13.06,12.8
500,19.26,19.74,19.42
600,28.91,29.45,29.14
720,41.86,42.43,42.27
860,57.66,58.3,58.43
1020,75.28,75.99,76.58
1220,92.6,93.26,94.13
1460,99.99,99.99,99.99
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
