Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0.06,0.06,0.05
120,0.16,0.16,0.16
150,0.36,0.38,0.35
180,0.54,0.56,0.54
210,0.73,0.75,0.74
250,1.29,1.33,1.3
300,2.12,2.19,2.16
360,3.31,3.41,3.35
410,4.11,4.22,4.15
500,6.58,6.68,6.62
600,9.65,9.71,9.72
720,12.95,12.98,13.13
860,15.8,15.87,16.16
1020,17.62,17.69,18.15
1220,17.32,17.27,17.55
1460,7.39,6.73,5.86
1740,0.01,0.01,0.01
2060,0,0,0
2460,0,0,0
2940,0,0,0
3500,0,0,0
