Type,Description,Units,Values,Values,Values
ID,Sequencial ID,NA,1,2,3
Tair,Dry air temperature,Farheneit,63.84,70,70
Patm,Barometric pressure,mmHg abs,760,760,760
RH,Relative humidity,%,35.65,35.65,35.65
ch,Crop Height,in,4,4,4
measurements,Number of wind measurements,NA,1,1,1
z1,Elevation of wind speed (1),ft,6.6,6.6,6.6
ux1,Wind speed (1),mph,12.8,12.8,12.8
psipsipsi,"Horizontal variation in wind direction around mean direction, 1 stdev (put NA if number of wind measurements is not 1)",degrees,10.7,10.7,10.7
psipsipsi_method,"Method 1 interpolates value, method 2 uses SDTF function; Method to estimate psipsipsi when more than number of temperature and wind speed are available",NA,1,1,1
rhow,Density of pure water in droplet,lbs/ft3,62.428,62.428,62.428
rhos,Density of dissolved solids in droplet,lbs/ft3,125.8511023,125.8511023,125.8511023
xs0,Mass fraction total dissolved solids in solution,NA,0.0198,0.0198,0.0198
rhosoln,Mix density,lbs/ft3,62.9711236,62.9711236,62.9711236
H0,Height of nozzle above ground,in,20,20,20
hcm,Canopy height (Droplet Transport Calculation),in,0.254,0.254,0.254
app_p,Nozzle pressure,psi,50,50,50
angle,Nozzle angle,degrees,110,110,110
IAR,Intended Application Rate,lb/acre,0.6088,0.6088,0.6088
xactive,Conc in tank solution,wtfraction,0.0119,0.0119,0.0119
FD,Downwind field depth,ft,240.16,240.16,240.16
PL,Crosswind field width,ft,787.4,787.4,787.4
NozzleSpacing,Space between nozzles on Boom,in,20,20,15
MMM,Number of droplet size bins,#,20,500,500
lambda,Resolution of deposition calculations,NA,2,2,2
