Type,Description,Units,Values,Values
ID,Sequencial ID,NA,1,2
Tair,Dry air temperature,Celcius,17.689,17.689
Patm,Barometric pressure,mmHg abs,760,760
RH,Relative humidity,%,35.65,35.65
ch,Crop Height,cm,4,4
measurements,Number of wind measurements; input 1 for one measurement or any value greater than 1 for more than one measurement,NA,2,1
z1,Elevation of wind speed (1); put NA if more than one measurements,m,NA,6.6
ux1,Wind speed (1); put NA if more than one measurements,m/s,NA,12.8
psipsipsi,"Horizontal variation in wind direction around mean direction, 1 stdev (put NA if number of wind measurements is not 1)",degrees,10.7,10.7
psipsipsi_method,"Method 1 interpolates value, method 2 uses SDTF function; Method to estimate psipsipsi when more than number of temperature and wind speed are available",NA,1,1
rhow,Density of pure water in droplet,g/cm3,1,1
rhos,Density of dissolved solids in droplet,g/cm3,2.01594,2.01594
xs0,Mass fraction total dissolved solids in solution,NA,0.0198,0.0198
rhosoln,Mix density,kg/m3,1008.7,1008.7
H0,Height of nozzle above ground,cm,20,20
hcm,Canopy height (Droplet Transport Calculation),cm,0.254,0.254
app_p,Nozzle pressure,kPa,50,50
angle,Nozzle angle,degrees,110,110
IAR,Intended Application Rate,kg/ha,0.6088,0.6088
xactive,Conc in tank solution,wtfraction,0.0119,0.0119
FD,Downwind field depth,m,240.16,240.16
PL,Crosswind field width,m,787.4,787.4
NozzleSpacing,Space between nozzles on Boom,cm,20,20
MMM,Number of droplet size bins; if MMM is NA droplet bin of 0.5 microns is assumed,#,20,NA
lambda,Resolution of deposition calculations,NA,2,2
