Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0.06,0.06,0.06
100,0.18,0.19,0.19
120,0.44,0.44,0.45
150,1.01,1.02,1.02
180,1.84,1.84,1.84
210,2.92,2.92,2.92
250,4.77,4.77,4.75
300,7.85,7.85,7.8
360,12.78,12.79,12.68
410,19.08,19.1,18.9
500,29.23,29.25,28.94
600,43.65,43.7,43.27
720,61.9,62.05,61.47
860,81.98,82.41,81.72
1020,97.47,98.02,97.55
1220,100,100,100
1460,100,100,100
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
