Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0.06,0.05,0.05
150,0.24,0.21,0.22
180,0.55,0.5,0.51
210,1.05,0.95,0.96
250,2.07,1.88,1.89
300,4.03,3.71,3.71
360,7.55,7,6.99
410,12.34,11.55,11.53
500,20.37,19.27,19.23
600,32.07,30.77,30.59
720,47.11,45.88,45.41
860,64.77,63.77,63
1020,83.42,82.56,81.78
1220,99.07,98.45,98.12
1460,100,100,100
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
