Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0.05,0.05,0.05
150,0.18,0.19,0.19
180,0.4,0.4,0.4
210,0.72,0.72,0.71
250,1.3,1.3,1.27
300,2.33,2.32,2.27
360,4.05,4.03,3.95
410,6.36,6.33,6.22
500,10.47,10.43,10.26
600,17.42,17.38,17.11
720,28.43,28.35,27.96
860,44.03,43.86,43.41
1020,63.04,62.84,62.49
1220,84.18,84.07,83.97
1460,99.92,99.92,99.92
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
