Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0.05,0.05,0.05
150,0.18,0.17,0.18
180,0.39,0.38,0.39
210,0.7,0.67,0.69
250,1.28,1.24,1.26
300,2.33,2.25,2.27
360,4.14,3.97,4
410,6.6,6.33,6.35
500,10.92,10.5,10.48
600,17.93,17.35,17.16
720,28.37,27.7,27
860,42.41,41.78,40.14
1020,59.44,59.08,56.39
1220,79.88,80.35,77.22
1460,97.39,98.45,96.87
1740,99.99,100,99.99
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
