Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0.05,0.06,0.05
150,0.2,0.21,0.21
180,0.45,0.48,0.46
210,0.84,0.87,0.85
250,1.61,1.64,1.6
300,3.02,3.04,3.01
360,5.43,5.44,5.42
410,8.62,8.61,8.61
500,13.98,13.93,13.99
600,22.33,22.21,22.31
720,34.55,34.25,34.39
860,51.13,50.52,50.69
1020,71.24,70.28,70.55
1220,92.08,91.07,91.5
1460,99.99,99.98,99.99
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
