Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0.05,0.05,0.05
100,0.16,0.16,0.15
120,0.38,0.39,0.36
150,0.89,0.89,0.85
180,1.63,1.63,1.57
210,2.62,2.61,2.55
250,4.33,4.29,4.23
300,7.12,7.03,6.99
360,11.48,11.33,11.31
410,16.91,16.74,16.73
500,25.55,25.42,25.42
600,37.88,37.83,37.88
720,53.61,53.67,53.8
860,71.47,71.6,71.75
1020,88.1,88.24,88.27
1220,99.84,99.85,99.85
1460,100,100,100
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
