Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0,0,0
150,0.07,0.08,0.08
180,0.21,0.23,0.22
210,0.46,0.48,0.47
250,0.92,0.95,0.93
300,1.74,1.76,1.73
360,3.13,3.14,3.08
410,5.02,5.01,4.92
500,8.38,8.4,8.22
600,14.12,14.26,13.88
720,23.43,23.78,23.13
860,37.33,37.74,36.97
1020,55.73,55.8,55.26
1220,78.65,78.26,78.07
1460,99.85,99.83,99.83
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
