parameter,level,value,unit,distance_m,deposition_pct_IAR,pct_change
Wind Speed,low,1.22,m/s,3.0,1.7731508799994813,-56.25823719924665
Wind Speed,low,1.22,m/s,10.0,0.5274751917878222,-32.39873788155192
Wind Speed,low,1.22,m/s,30.0,0.3008244749401146,43.617611130966374
Wind Speed,low,1.22,m/s,-1.0,8.834459410011323,46.342866928762724
Wind Speed,high,3.65,m/s,3.0,6.234525063821961,53.79916034958714
Wind Speed,high,3.65,m/s,10.0,1.1064361170941375,41.800939899152105
Wind Speed,high,3.65,m/s,30.0,0.17983900386936072,-14.142464209297406
Wind Speed,high,3.65,m/s,-1.0,5.173743309067409,-14.296914676587114
Nozzle Height,low,0.6,m,3.0,1.665461072790528,-58.91483120719384
Nozzle Height,low,0.6,m,10.0,0.4970929904816955,-36.292523193557834
Nozzle Height,low,0.6,m,30.0,0.200311090505803,-4.368817373622481
Nozzle Height,low,0.6,m,-1.0,5.980843612840742,-0.9272938688422475
Nozzle Height,high,1.0,m,3.0,7.02934742618259,73.40659005862761
Nozzle Height,high,1.0,m,10.0,0.8337419599516769,6.852435244980526
Nozzle Height,high,1.0,m,30.0,0.30288974638295624,44.60359922590767
Nozzle Height,high,1.0,m,-1.0,8.617911063315834,42.755742418553325
Nozzle Pressure,low,150000.0,kPa,3.0,4.37421685909101,7.907318236489407
Nozzle Pressure,low,150000.0,kPa,10.0,0.8602761208996597,10.253055401651721
Nozzle Pressure,low,150000.0,kPa,30.0,0.2143338984708535,2.3258579239567845
Nozzle Pressure,low,150000.0,kPa,-1.0,6.111994020560577,1.2452133298265469
Nozzle Pressure,high,350000.0,kPa,3.0,3.830644226548426,-5.5020455271096225
Nozzle Pressure,high,350000.0,kPa,10.0,0.7004376614730731,-10.231854145813882
Nozzle Pressure,high,350000.0,kPa,30.0,0.2131956647548177,1.782449987357454
Nozzle Pressure,high,350000.0,kPa,-1.0,5.990383284948561,-0.7692691498383203
Nozzle Angle,low,90.0,°,3.0,3.9730721274068834,-1.9884993727284048
Nozzle Angle,low,90.0,°,10.0,0.7580646211632952,-2.846378453764686
Nozzle Angle,low,90.0,°,30.0,0.2016947349275404,-3.7082470974035364
Nozzle Angle,low,90.0,°,-1.0,6.025466080318344,-0.1881224586812982
Nozzle Angle,high,130.0,°,3.0,4.1544742425092585,2.4864995570667654
Nozzle Angle,high,130.0,°,10.0,0.7998465620748388,2.5083983838063517
Nozzle Angle,high,130.0,°,30.0,0.2069438886694496,-1.2022311855591055
Nozzle Angle,high,130.0,°,-1.0,6.049908573369085,0.21676756819214485
Temperature,low,6.6,°C,3.0,4.1903873671018435,3.3724384780474854
Temperature,low,6.6,°C,10.0,0.5578633951685924,-28.504183343187016
Temperature,low,6.6,°C,30.0,0.26996766954833834,28.88616124351214
Temperature,low,6.6,°C,-1.0,6.6616802316769546,10.350768329017681
Temperature,high,26.6,°C,3.0,3.6807044155378774,-9.200902585238328
Temperature,high,26.6,°C,10.0,0.803972585220108,3.0371898350303144
Temperature,high,26.6,°C,30.0,0.3056767731785801,45.934162939598764
Temperature,high,26.6,°C,-1.0,8.184764463465394,35.58066669736919
Relative Humidity,low,30.0,%,3.0,3.1902881391470768,-21.2989550845955
Relative Humidity,low,30.0,%,10.0,1.0898716899210414,39.67804160819164
Relative Humidity,low,30.0,%,30.0,0.3708353638018457,77.04174197497106
Relative Humidity,low,30.0,%,-1.0,10.682168201808269,76.95017285340433
Relative Humidity,high,95.0,%,3.0,5.524123174384631,36.27429470420914
Relative Humidity,high,95.0,%,10.0,1.312815797992559,68.25057605559127
Relative Humidity,high,95.0,%,30.0,0.12384197800566941,-40.876190202115126
Relative Humidity,high,95.0,%,-1.0,2.656951005608955,-55.98759251647575
Canopy Height,low,0.0,m,3.0,7.961394797505174,96.39921606430066
Canopy Height,low,0.0,m,10.0,1.0790975015405762,38.29722077687878
Canopy Height,low,0.0,m,30.0,0.28338458974854075,35.29157765210545
Canopy Height,low,0.0,m,-1.0,8.194327744454762,35.73908249762105
Canopy Height,high,0.5,m,3.0,0.7429267311007648,-81.67278080128285
Canopy Height,high,0.5,m,10.0,0.42507976254980046,-45.52174415638526
Canopy Height,high,0.5,m,30.0,0.21548489468694523,2.875358848071369
Canopy Height,high,0.5,m,-1.0,5.883220907755468,-2.544414495751302
Wind Direction Variation (ψ),low,0.0,°,3.0,4.3941967524156755,8.40020114027936
Wind Direction Variation (ψ),low,0.0,°,10.0,0.9496116942396071,21.702309516118035
Wind Direction Variation (ψ),low,0.0,°,30.0,0.32788128513930664,56.534892699912795
Wind Direction Variation (ψ),low,0.0,°,-1.0,10.355360091129409,71.53659476869213
Wind Direction Variation (ψ),high,25.0,°,3.0,3.382187495407924,-16.565000282519264
Wind Direction Variation (ψ),high,25.0,°,10.0,0.5293652698310691,-32.15650533068485
Wind Direction Variation (ψ),high,25.0,°,30.0,0.10462132012727657,-50.05238828044598
Wind Direction Variation (ψ),high,25.0,°,-1.0,2.8208739464424974,-53.2722081331608
