parameter,value,unit,off_field_total,dep_3m,dep_10m,dep_30m
Canopy Height,0.0,m,8.194327744454762,7.961394797505174,1.0790975015405762,0.28338458974854075
Canopy Height,0.03571428571428571,m,8.838517000450768,6.6085894595345325,0.7217809146636026,0.3446618548699378
Canopy Height,0.10714285714285714,m,6.320227904526208,4.899775368732342,0.9585291111270048,0.22260942799478345
Canopy Height,0.14285714285714285,m,6.029667037539132,4.200729273976514,0.8457467974977423,0.2127029820237628
Canopy Height,0.17857142857142855,m,6.388007526758373,3.4940589442545216,0.45623259709234465,0.2085669696181667
Canopy Height,0.21428571428571427,m,7.147746961780512,2.8612761290283224,0.4767438104004921,0.25289024974371593
Canopy Height,0.25,m,6.89709125197641,2.280295638798609,0.5837319628925913,0.256210880083628
Canopy Height,0.2857142857142857,m,6.296853883963763,1.8982078821637032,0.6470097185141015,0.2212436613335643
Canopy Height,0.3214285714285714,m,6.377631929819321,1.4747642373529324,0.49600706221909374,0.211811458445593
Canopy Height,0.3571428571428571,m,6.574806247331229,1.2205586016993106,0.42059450074214105,0.22795846431397887
Canopy Height,0.39285714285714285,m,6.3598846782767025,0.868651440062859,0.4982481202688926,0.21422335773575055
Canopy Height,0.42857142857142855,m,6.378061535364501,0.9152685677646006,0.431976962117664,0.2235637637504857
Canopy Height,0.46428571428571425,m,6.193349920365049,0.6490883760118054,0.43450155087718706,0.22115484036514826
Canopy Height,0.5,m,5.883220907755468,0.7429267311007648,0.42507976254980046,0.21548489468694523
