parameter,value,unit,off_field_total,dep_3m,dep_10m,dep_30m
Nozzle Height,0.6,m,5.980843612840742,1.665461072790528,0.4970929904816955,0.200311090505803
Nozzle Height,0.6285714285714286,m,5.983663609116762,1.9202265132509249,0.6377649884139959,0.21190885302672394
Nozzle Height,0.6571428571428571,m,6.33383561622251,2.1791242630685597,0.6296199058561923,0.22058961474792393
Nozzle Height,0.6857142857142857,m,6.921361926381349,2.4630317100926407,0.5538843045293093,0.2579928699052683
Nozzle Height,0.7142857142857143,m,7.145842146143469,2.8327536280154972,0.49851693530911023,0.2557422939851927
Nozzle Height,0.7428571428571429,m,6.797358049726225,3.196673313136601,0.4421958033314352,0.23081623724263392
Nozzle Height,0.7714285714285714,m,6.23784839091741,3.6166824173211367,0.4702952890742519,0.21028738785173828
Nozzle Height,0.8,m,6.030036954830691,4.032324326313567,0.767831369094378,0.20771714788028287
Nozzle Height,0.8285714285714285,m,6.149326357191921,4.414481573324583,0.9196836760819566,0.2161053780814053
Nozzle Height,0.8571428571428572,m,6.436865290167059,4.807935791637531,0.953786733505072,0.229047560664328
Nozzle Height,0.8857142857142857,m,7.163310042115554,5.147671587862392,0.9040205283567625,0.2730786723463973
Nozzle Height,0.9142857142857144,m,8.053967644252817,5.545694588866685,0.8046947509356608,0.33387768970486065
Nozzle Height,0.9428571428571428,m,8.71437920226493,6.0265084617320746,0.7229534982172354,0.35134341233122923
Nozzle Height,0.9714285714285714,m,8.89969562679536,6.523536237047395,0.6957081737183946,0.331987894486241
Nozzle Height,1.0,m,8.617911063315834,7.02934742618259,0.8337419599516769,0.30288974638295624
