parameter,value,unit,off_field_total,dep_3m,dep_10m,dep_30m
Relative Humidity,30.0,%,10.682168201808269,3.1902881391470768,1.0898716899210414,0.3708353638018457
Relative Humidity,34.642857142857146,%,10.077232815606074,3.269850586197957,1.0253691175233732,0.34559456544973977
Relative Humidity,39.285714285714285,%,9.594734415127855,3.3869856049948694,0.7761777444899127,0.3196917211886102
Relative Humidity,43.92857142857143,%,9.390002672289256,3.463046554567431,0.6001734283286937,0.3081327155913312
Relative Humidity,48.57142857142857,%,9.487391794149325,3.5067969946668214,0.6258522020332445,0.3221096928269139
Relative Humidity,53.214285714285715,%,9.193172186283034,3.5502047073072993,0.6771514068310319,0.3490182348448589
Relative Humidity,57.85714285714286,%,8.18704528696473,3.666263092681585,0.8091014638945002,0.30419913814881894
Relative Humidity,62.5,%,6.891289862707838,3.87173863598027,0.8977655217120416,0.2412329320206582
Relative Humidity,67.14285714285714,%,6.023573649318868,4.0541537675095025,0.7847221121339979,0.2055580526812617
Relative Humidity,71.78571428571429,%,6.368060704638828,4.147190823510568,0.45631917188669635,0.2074899012598741
Relative Humidity,76.42857142857143,%,6.731873154430121,4.23669647132149,0.5469506641555132,0.27090247433670006
Relative Humidity,81.07142857142858,%,4.370559203124358,4.583688552722926,0.8174277010779527,0.15055158217734363
Relative Humidity,85.71428571428572,%,4.579698238738014,4.762492976276521,0.7489227264308358,0.16414611880659397
Relative Humidity,90.35714285714286,%,2.9869833809594395,5.149024437503658,1.0110997154273784,0.10738485905506345
Relative Humidity,95.0,%,2.656951005608955,5.524123174384631,1.312815797992559,0.12384197800566941
