parameter,value,unit,off_field_total,dep_3m,dep_10m,dep_30m
Wind Speed,1.22,m/s,8.834459410011323,1.7731508799994813,0.5274751917878222,0.3008244749401146
Wind Speed,1.3935714285714285,m/s,8.262829161659361,2.0272762192840212,0.4951895640518212,0.27335368284800277
Wind Speed,1.5671428571428572,m/s,7.7363458256758175,2.3760322552397546,0.4839519299368042,0.25410659717861545
Wind Speed,1.7407142857142857,m/s,7.2537531271404685,2.7159725172924603,0.49954446780428813,0.23799042941453852
Wind Speed,1.9142857142857141,m/s,6.848428918570665,3.0411990215208387,0.5641191113259008,0.22505010526597144
Wind Speed,2.0878571428571426,m/s,6.505495923338026,3.3699665423021288,0.6453949854317984,0.22120661850521306
Wind Speed,2.2614285714285716,m/s,6.232691040809786,3.711444249992653,0.7046993526435396,0.2162471122758082
Wind Speed,2.4349999999999996,m/s,6.040304644230153,4.053940872483883,0.7843541668709887,0.20949431869655238
Wind Speed,2.6085714285714285,m/s,5.85198825684839,4.3848508612141215,0.832269565187745,0.2007390591700684
Wind Speed,2.7821428571428566,m/s,5.7199182815115135,4.698913425811487,0.907711173405782,0.1940653532555017
Wind Speed,2.9557142857142855,m/s,5.5639060565855125,5.008188077925133,0.9477726379236486,0.19481916181687037
Wind Speed,3.129285714285714,m/s,5.477999671659097,5.314863624488772,0.9966741882695784,0.1905100323678611
Wind Speed,3.3028571428571425,m/s,5.351831175722707,5.61160435344795,1.0286824215425519,0.1895436676042801
Wind Speed,3.4764285714285714,m/s,5.271608683742837,5.919737808175151,1.0662550300193567,0.18187285827625574
Wind Speed,3.65,m/s,5.173743309067409,6.234525063821961,1.1064361170941375,0.17983900386936072
